Name,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Year_as_date
The Simpsons: Road Rage,PS2,Electronic Arts,Radical Entertainment,6.1000000000000005,,3.61,2001,Racing,2.02,1.17,0.0,0.42,3.61,2001-01-01
Assassin'S Creed Syndicate,PS4,Ubisoft,Ubisoft Quebec,8.6,6.9,3.6,2015,Action,0.8,1.92,0.06,0.5,3.28,2015-01-01
Assassin'S Creed: Unity,XONE,Ubisoft,Ubisoft Montreal,8.7,,3.58,2014,Action,2.26,0.89,0.0,0.3,3.46,2014-01-01
Wwf Smackdown!,PS,Thq,Yuke's,7.899999999999999,,3.58,2000,Fighting,2.01,1.35,0.06,0.16,3.58,2000-01-01
Croc: Legend Of The Gobbos,PS,Fox Interactive,Argonaut Games,7.6,,3.56,1997,Platform,1.57,1.79,0.0,0.2,3.56,1997-01-01
Battlefield 4,X360,Electronic Arts,EA DICE,8.7,,3.54,2013,Shooter,2.14,1.08,0.02,0.29,3.53,2013-01-01
Batman: Arkham Asylum,X360,Eidos Interactive,Rocksteady Studios,9.1,,3.54,2009,Action,2.2,0.97,0.02,0.31,3.5,2009-01-01
Assassin'S Creed: Brotherhood,X360,Ubisoft,Ubisoft Montreal,9.1,,3.53,2010,Action,2.84,0.39,0.03,0.24,3.5,2010-01-01
James Bond 007: Agent Under Fire,PS2,Electronic Arts,EA Redwood Shores,7.9,,3.53,2001,Shooter,1.9,1.13,0.1,0.41,3.53,2001-01-01
Lego Star Wars: The Video Game,PS2,Eidos Interactive,Traveller's Tales,7.9,,3.53,2005,Action,1.98,1.14,0.01,0.41,3.53,2005-01-01
Resident Evil 5,X360,Capcom,Capcom,8.6,,3.53,2009,Action,2.11,0.94,0.12,0.34,3.51,2009-01-01
Rugrats In Paris: The Movie,PS,Thq,Avalanche Software,7.899999999999999,,3.52,2000,Action,1.96,1.33,0.0,0.23,3.52,2000-01-01
Spyro 2: Ripto'S Rage!,PS,Sony Computer Entertainment,Insomniac Games,8.7,,3.52,1999,Platform,2.14,1.21,0.01,0.17,3.52,1999-01-01
Donkey Kong Country 3: Dixie Kong'S Double Trouble!,SNES,Nintendo,Rare Ltd.,8.8,,3.51,1996,Platform,1.17,0.5,1.75,0.08,3.51,1996-01-01
Fable Ii,X360,Microsoft Game Studios,Lionhead Studios,9.0,9.3,3.5,2008,Role-Playing,2.51,1.27,0.11,0.41,4.31,2008-01-01
Kung Fu,NES,Nintendo,Irem Software Engineering,8.200000000000001,,3.5,1985,Action,1.64,0.38,1.42,0.06,3.5,1985-01-01
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.3,7.8,3.49,2015,Fighting,1.47,0.76,0.0,0.47,2.7,2015-01-01
Battlefield: Bad Company 2,X360,Electronic Arts,EA Digital Illusions CE,9.0,9.3,3.48,2010,Shooter,2.09,1.02,0.04,0.32,3.48,2010-01-01
Mario & Sonic At The Olympic Winter Games,DS,Sega,Sega,7.6,,3.47,2009,Sports,1.22,1.66,0.27,0.38,3.52,2009-01-01
Guitar Hero: On Tour,DS,Activision,Vicarious Visions,7.099999999999999,8.1,3.46,2008,Misc,2.11,1.01,0.01,0.35,3.48,2008-01-01
Dragon Ball Z: Budokai,PS2,Atari,Dimps Corporation,8.940000000000001,,3.46,2002,Fighting,2.17,0.28,0.55,0.08,3.09,2002-01-01
Animal Crossing: Happy Home Designer,3DS,Nintendo,Nintendo EAD,6.6000000000000005,6.9,3.43,2015,Simulation,0.47,1.0,1.39,0.12,2.98,2015-01-01
Littlebigplanet 2,PS3,Sony Computer Entertainment,Media Molecule,9.1,,3.43,2011,Platform,1.82,1.07,0.06,0.47,3.42,2011-01-01
Destiny,XONE,Activision,Bungie,8.3,5.5,3.41,2014,Shooter,2.13,0.92,0.0,0.23,3.28,2014-01-01
Spider-Man 2,PS2,Activision,Treyarch,7.9,,3.41,2004,Action,1.75,1.2,0.02,0.43,3.41,2004-01-01
Crash Bash,PS,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,,3.39,2000,Misc,1.56,1.47,0.19,0.17,3.39,2000-01-01
The Legend Of Zelda: Majora'S Mask,N64,Nintendo,Nintendo EAD,9.3,,3.36,2000,Action,1.9,0.67,0.73,0.06,3.36,2000-01-01
Wwf War Zone,PS,Acclaim Entertainment,Iguana Entertainment,6.499999999999999,,3.36,1998,Fighting,2.47,0.76,0.0,0.13,3.36,1998-01-01
Yoshi'S Island Ds,DS,Nintendo,Artoon,8.2,,3.36,2006,Platform,1.47,0.07,1.1,0.15,2.8,2006-01-01
Assassin'S Creed Iv: Black Flag,X360,Ubisoft,Ubisoft Montreal,8.5,,3.34,2013,Action,1.9,1.14,0.01,0.29,3.34,2013-01-01
Big Brain Academy: Wii Degree,WII,Nintendo,Nintendo EAD,7.099999999999999,,3.34,2007,Misc,1.06,1.93,0.41,0.43,3.82,2007-01-01
Rugrats: Search For Reptar,PS,Thq,n-Space,6.819999999999999,,3.34,1998,Adventure,1.63,1.53,0.0,0.18,3.34,1998-01-01
Luigi'S Mansion,GC,Nintendo,Nintendo EAD,7.9,,3.33,2001,Action,2.38,0.67,0.46,0.1,3.6,2001-01-01
James Bond 007: Nightfire,PS2,Electronic Arts,Eurocom Entertainment Software,8.56,,3.33,2002,Shooter,1.45,1.29,0.12,0.46,3.33,2002-01-01
Ratchet & Clank,PS2,Sony Computer Entertainment,Insomniac Games,8.42,,3.33,2002,Platform,1.44,1.01,0.57,0.3,3.33,2002-01-01
Star Wars Episode Iii: Revenge Of The Sith,PS2,Lucasarts,The Collective,8.3,,3.32,2005,Action,1.47,1.39,0.03,0.43,3.32,2005-01-01
World Of Warcraft: Warlords Of Draenor,PC,Activision Blizzard,Blizzard Entertainment,8.7,5.9,3.3,2014,Action,0.08,0.36,0.0,0.04,0.48,2014-01-01
Dark Souls Iii,PC,Namco Bandai Games,From Software,8.9,8.4,3.29,2016,Role-Playing,0.0,0.05,0.0,0.0,0.05,2016-01-01
